ph,temperature,humidity,altitude,rainfall,N,P,K,label
6.43,27.41,50.1,486,582.53,45,47,83,Almond
7.11,18.26,53.39,1108,509.42,105,41,69,Almond
6.45,29.09,51.0,268,486.98,74,26,90,Almond
7.41,17.5,56.4,973,551.17,97,26,70,Almond
7.36,16.31,48.97,903,950.01,63,30,113,Almond
6.37,22.49,67.83,152,905.2,115,28,84,Almond
6.88,20.04,48.01,330,782.47,110,31,58,Almond
6.66,17.06,57.11,485,816.22,43,22,110,Almond
6.27,20.35,52.03,301,891.55,41,35,84,Almond
7.06,15.14,62.26,566,708.57,69,31,53,Almond
7.16,19.32,56.41,1056,996.73,55,34,83,Almond
6.64,29.53,50.47,673,648.1,111,32,71,Almond
6.81,28.33,61.76,293,509.3,77,23,64,Almond
6.96,27.06,56.85,970,447.8,68,41,88,Almond
7.38,15.27,42.03,157,848.29,56,60,60,Almond
6.36,20.57,50.76,425,939.74,55,32,108,Almond
6.63,17.67,65.3,653,966.82,66,40,116,Almond
6.33,19.65,47.68,1470,679.8,61,38,75,Almond
6.8,25.81,54.36,508,493.7,61,32,60,Almond
7.41,22.9,53.69,96,866.97,73,48,78,Almond
7.4,17.93,68.62,995,420.73,78,37,109,Almond
6.7,23.19,55.16,1049,937.26,32,51,57,Almond
6.18,18.76,48.69,630,584.45,66,26,112,Almond
6.64,29.45,42.32,411,580.65,119,56,77,Almond
6.82,19.38,60.33,1381,786.64,84,29,57,Almond
7.25,15.7,69.37,1043,665.45,106,27,58,Almond
6.87,19.33,52.74,112,560.79,76,55,56,Almond
7.03,26.3,64.92,997,832.61,100,44,104,Almond
6.66,26.36,60.4,1243,712.6,100,46,54,Almond
6.08,20.62,69.77,716,639.61,71,35,68,Almond
6.45,15.78,59.68,1165,831.49,38,22,99,Almond
6.63,20.67,46.34,293,692.04,62,55,68,Almond
6.89,17.25,50.52,1318,551.37,45,33,104,Almond
7.21,23.98,44.06,156,692.73,35,35,74,Almond
6.95,25.12,67.52,926,720.44,43,59,93,Almond
7.43,21.45,56.36,665,493.72,103,30,62,Almond
6.56,20.12,42.95,1178,608.33,39,53,86,Almond
6.75,29.66,68.21,610,482.89,104,58,50,Almond
7.32,23.2,49.1,1461,665.48,57,31,71,Almond
6.52,29.39,44.96,556,685.12,92,51,106,Almond
6.97,28.88,67.62,1421,918.34,62,57,101,Almond
6.96,23.86,58.27,1404,565.8,95,38,97,Almond
6.23,18.26,59.2,579,439.92,47,51,74,Almond
7.23,29.31,45.12,872,920.78,62,48,114,Almond
6.86,15.91,59.43,991,450.31,57,22,109,Almond
6.87,18.29,54.74,1257,495.99,46,57,100,Almond
6.44,24.56,54.94,396,403.97,37,20,68,Almond
6.33,16.72,56.01,1393,910.19,70,48,101,Almond
6.91,27.05,56.05,1306,497.72,47,25,94,Almond
6.03,25.09,62.39,1154,408.24,58,39,110,Almond
6.76,26.45,40.89,154,672.33,40,55,59,Almond
6.67,17.52,58.6,937,884.65,79,35,114,Almond
6.41,22.88,49.05,836,686.84,37,32,92,Almond
7.08,28.92,62.65,643,575.5,42,25,55,Almond
6.5,23.4,54.58,822,739.76,96,57,101,Almond
7.38,21.02,49.04,937,609.79,80,60,72,Almond
6.99,21.49,60.66,494,661.68,50,45,83,Almond
6.94,21.71,68.57,73,719.45,46,30,69,Almond
6.91,22.0,48.81,150,473.59,79,39,90,Almond
6.25,26.11,57.22,894,400.17,115,49,86,Almond
7.2,17.4,46.77,354,875.02,33,34,100,Almond
6.08,19.26,54.51,136,787.93,63,52,72,Almond
7.43,21.72,64.6,1067,911.79,38,30,88,Almond
6.84,29.65,50.32,302,496.61,95,31,94,Almond
6.84,17.62,54.41,1487,469.07,111,53,104,Almond
6.07,22.33,61.92,526,558.4,101,36,61,Almond
6.79,19.05,68.16,652,800.19,111,37,91,Almond
6.53,23.53,61.98,1195,407.49,73,56,103,Almond
6.19,15.38,45.35,305,416.24,60,37,63,Almond
7.02,19.41,57.4,1247,866.05,36,44,82,Almond
6.23,28.03,63.21,1005,853.01,65,53,94,Almond
6.93,20.56,49.31,350,955.04,59,49,104,Almond
7.36,27.29,63.65,1138,874.58,72,25,51,Almond
6.01,19.21,52.6,796,485.46,45,32,113,Almond
6.56,16.22,40.32,1014,827.05,100,50,94,Almond
6.29,23.84,55.11,746,747.04,49,36,119,Almond
6.6,16.97,64.95,562,537.68,95,21,56,Almond
6.99,21.79,69.0,589,782.17,42,24,120,Almond
6.1,24.03,66.18,262,461.17,51,20,109,Almond
6.15,28.73,41.42,222,980.64,78,35,104,Almond
6.52,25.34,49.22,823,844.5,54,49,58,Almond
6.51,20.3,64.48,1355,811.19,92,39,120,Almond
6.25,24.3,49.95,852,740.13,103,42,89,Almond
6.43,18.56,67.74,1448,554.25,43,37,101,Almond
6.99,23.18,44.43,494,547.05,46,46,72,Almond
6.95,15.66,48.71,156,579.19,117,48,67,Almond
7.02,19.27,40.14,884,791.49,63,38,83,Almond
6.25,21.46,40.64,424,673.36,85,30,63,Almond
6.78,23.74,40.12,1305,701.58,113,58,119,Almond
7.28,29.19,63.11,1250,649.84,43,41,56,Almond
6.62,20.07,69.26,1121,559.34,31,46,60,Almond
6.0,28.69,42.64,243,402.3,72,58,86,Almond
7.27,28.49,54.7,1144,912.45,44,29,64,Almond
7.08,24.15,44.69,677,578.1,113,58,110,Almond
6.44,23.65,55.96,1245,518.22,92,59,106,Almond
6.33,16.44,68.49,300,558.45,69,56,117,Almond
6.61,25.2,47.55,254,525.47,110,39,75,Almond
6.16,20.57,61.66,470,421.0,82,40,103,Almond
6.1,23.53,48.61,1346,843.51,111,37,76,Almond
6.38,20.71,51.62,921,473.25,96,27,64,Almond
7.26,16.0,67.01,600,421.19,110,42,83,Almond
6.59,16.23,64.38,1425,950.53,117,52,77,Almond
6.63,16.11,55.83,1299,904.53,77,46,84,Almond
6.97,18.32,66.23,1127,619.52,107,35,60,Almond
6.08,27.69,63.41,750,484.87,117,33,80,Almond
7.19,15.0,46.09,923,862.96,63,60,113,Almond
7.17,20.98,42.74,135,875.58,43,60,98,Almond
6.71,23.06,42.3,90,894.3,68,31,112,Almond
6.24,16.81,68.76,722,883.07,58,30,55,Almond
7.28,22.59,62.34,888,610.12,95,25,60,Almond
7.5,16.92,42.93,611,769.78,52,36,105,Almond
6.91,21.54,68.63,764,627.19,74,30,50,Almond
7.38,20.88,68.68,1128,565.52,90,52,77,Almond
7.24,15.73,48.6,1251,525.7,86,58,57,Almond
6.93,17.99,62.52,1366,461.61,45,57,85,Almond
6.36,19.37,58.25,873,708.25,112,35,117,Almond
6.21,28.61,41.57,786,994.85,80,39,68,Almond
6.57,25.26,56.43,450,699.34,62,28,91,Almond
6.79,27.66,50.58,767,463.42,98,48,90,Almond
7.32,17.48,53.06,421,756.98,115,47,50,Almond
6.92,27.53,62.81,796,908.07,92,27,70,Almond
7.46,29.5,56.64,72,610.06,80,47,73,Almond
7.06,29.14,54.25,171,506.57,56,36,81,Almond
6.05,22.12,58.71,1373,493.87,43,49,85,Almond
6.84,23.25,66.15,1457,482.69,117,22,77,Almond
6.73,27.43,68.86,1062,477.52,70,40,87,Almond
6.68,22.73,40.62,961,445.42,43,43,86,Almond
7.44,23.88,60.99,940,742.68,110,42,59,Almond
6.89,15.6,40.53,1161,730.38,82,50,118,Almond
6.86,29.92,57.35,1267,950.48,70,53,102,Almond
6.94,24.11,66.15,776,973.61,120,43,72,Almond
6.1,22.06,64.71,247,827.01,37,53,102,Almond
6.5,28.42,65.88,432,764.04,112,40,52,Almond
7.46,17.78,69.5,682,457.75,65,58,64,Almond
6.73,15.45,56.15,1323,756.22,66,57,85,Almond
6.12,19.1,48.86,199,602.68,98,43,62,Almond
6.51,16.42,65.3,527,547.85,117,51,95,Almond
6.44,28.24,62.64,432,543.67,55,35,108,Almond
6.26,26.31,55.24,653,845.14,31,50,73,Almond
6.44,28.28,60.9,243,552.77,92,39,109,Almond
7.15,29.96,53.76,1476,498.29,95,24,62,Almond
6.86,16.76,47.46,696,946.72,34,35,67,Almond
6.92,15.06,40.44,461,788.68,64,34,54,Almond
6.94,29.77,61.76,775,652.92,89,47,119,Almond
6.03,18.93,61.75,1339,679.97,73,47,58,Almond
6.13,29.0,54.72,612,718.38,94,40,54,Almond
6.04,23.28,62.26,329,720.11,119,51,114,Almond
7.39,21.64,47.98,568,821.94,40,43,109,Almond
6.17,24.73,58.6,112,426.91,67,31,58,Almond
6.52,26.0,69.92,1107,946.67,67,31,79,Almond
6.07,19.71,49.11,618,883.35,63,36,109,Almond
6.32,25.6,47.2,1395,765.79,69,46,85,Almond
7.01,20.73,42.64,444,579.09,111,24,66,Almond
6.89,26.01,40.02,254,730.52,73,42,100,Almond
6.14,15.71,50.01,1064,899.26,59,25,88,Almond
7.43,16.4,68.8,779,913.16,77,25,62,Almond
6.77,24.54,65.23,497,946.26,64,50,103,Almond
6.85,20.03,54.27,289,478.7,102,24,59,Almond
6.22,24.07,63.91,991,817.54,88,58,83,Almond
6.94,21.67,54.72,392,749.46,79,55,92,Almond
7.13,16.8,58.32,1401,733.25,57,59,61,Almond
6.93,25.41,47.49,1401,550.62,102,29,105,Almond
7.0,16.73,50.22,1362,819.51,46,57,78,Almond
7.48,23.37,50.46,1013,897.41,103,20,53,Almond
7.49,21.32,54.51,615,572.96,31,40,105,Almond
7.45,29.41,55.11,372,443.59,38,40,62,Almond
6.35,22.18,61.5,584,619.7,68,35,62,Almond
7.45,27.38,52.77,106,549.09,54,55,67,Almond
6.21,16.7,63.34,1374,599.18,77,56,74,Almond
6.45,29.7,40.09,1007,429.72,60,53,84,Almond
7.14,28.77,48.09,580,693.56,52,47,88,Almond
6.13,25.34,43.93,1087,588.31,46,50,108,Almond
7.49,28.68,59.43,754,889.27,74,26,56,Almond
6.98,24.17,64.44,1034,679.45,82,58,55,Almond
6.87,21.34,64.46,604,489.64,79,39,95,Almond
6.07,17.45,54.15,1020,534.9,94,39,69,Almond
7.17,25.62,63.67,366,905.17,35,55,62,Almond
7.2,21.14,62.11,889,540.47,66,44,81,Almond
7.44,15.09,44.79,279,668.82,112,40,61,Almond
6.35,26.05,55.1,341,787.24,56,30,66,Almond
6.07,20.1,67.03,754,483.64,76,28,87,Almond
6.24,27.6,61.73,720,660.61,102,30,94,Almond
7.11,25.02,53.44,819,894.45,56,31,58,Almond
6.05,17.69,64.56,689,540.51,100,53,114,Almond
7.27,19.27,63.31,1151,522.78,72,57,104,Almond
6.29,23.09,48.24,533,642.45,107,29,110,Almond
6.04,27.75,54.3,1372,790.78,76,28,76,Almond
7.38,15.12,60.19,508,576.42,40,43,71,Almond
6.28,19.87,58.02,180,468.56,108,46,76,Almond
6.15,22.47,57.14,171,609.49,91,57,92,Almond
7.17,19.39,43.85,206,934.33,50,54,92,Almond
7.31,23.92,65.93,377,519.98,56,29,81,Almond
6.11,28.7,42.58,560,519.65,59,36,83,Almond
6.36,26.81,54.53,682,531.6,52,43,50,Almond
6.91,29.9,42.78,1430,866.16,71,41,100,Almond
6.48,17.55,43.88,793,734.6,85,32,102,Almond
6.94,23.65,58.97,1497,939.4,111,44,105,Almond
6.03,17.26,56.95,396,503.16,70,24,117,Almond
6.73,21.67,69.27,1348,888.25,70,48,74,Almond
6.62,23.97,58.91,589,725.96,79,49,59,Almond
6.87,17.38,45.14,3180,995.92,132,22,199,Apple
6.22,25.09,49.83,2808,837.43,121,24,206,Apple
6.91,19.98,38.9,2698,750.97,98,22,234,Apple
5.88,26.26,32.27,3291,939.94,98,23,212,Apple
5.81,26.62,39.87,1611,636.04,106,25,183,Apple
6.5,19.36,46.28,3052,737.6,133,25,194,Apple
5.59,12.86,43.29,1881,792.78,134,30,182,Apple
6.9,26.41,31.65,2827,670.26,104,20,232,Apple
5.92,25.95,34.72,3240,867.22,87,30,199,Apple
6.15,20.18,35.37,2675,744.22,123,16,236,Apple
5.85,22.25,36.73,2433,866.63,111,20,216,Apple
5.66,26.69,38.04,1430,903.97,113,25,192,Apple
5.78,15.24,31.19,2184,701.23,100,28,187,Apple
6.71,16.11,45.52,2675,873.32,86,17,219,Apple
5.9,12.97,46.58,3022,695.22,88,30,219,Apple
6.61,10.42,45.95,1899,869.96,127,26,245,Apple
6.24,25.2,39.13,1482,923.77,94,27,184,Apple
6.71,25.51,33.36,2822,889.59,148,22,241,Apple
6.62,13.23,42.55,2489,806.39,83,20,241,Apple
5.91,23.73,36.83,1751,633.73,136,24,179,Apple
5.63,12.55,34.43,2708,783.0,111,26,222,Apple
5.76,26.6,37.08,2329,656.7,125,16,162,Apple
6.92,22.67,33.05,1752,929.32,98,28,237,Apple
6.47,16.68,43.31,2885,625.36,82,28,239,Apple
6.48,23.66,48.14,2683,823.35,109,27,177,Apple
6.37,15.06,39.42,3167,994.41,110,27,245,Apple
6.78,14.5,44.0,2442,802.54,100,17,235,Apple
6.85,20.59,40.38,2882,678.23,133,29,203,Apple
5.58,20.65,39.96,3218,853.06,139,30,238,Apple
6.62,15.05,31.08,2244,679.73,150,22,150,Apple
6.53,24.56,36.5,2197,846.26,110,18,229,Apple
6.41,13.27,48.46,1761,775.0,141,19,205,Apple
